compare_key,local_slug,live_slug,status,local_file,live_url,local_title,live_title,local_date,live_date,local_category,live_category,local_scripture,live_scripture,local_description,live_description,local_body_length,live_body_length,note
2023-05-03-马太福音-7-15-23-假信仰与假平安-从生命果子分辨真假,2023-05-03-马太福音-7-15-23-假信仰与假平安-从生命果子分辨真假,2023-05-03-马太福音-7-15-23-假信仰与假平安-从生命果子分辨真假,same,src/content/posts/2023-05-03-马太福音-7-15-23-假信仰与假平安-从生命果子分辨真假.md,https://ronniecross.com/posts/2023-05-03-马太福音-7-15-23-假信仰与假平安-从生命果子分辨真假/,马太福音 7:15-23｜假信仰与假平安：从生命果子分辨真假,马太福音 7:15-23｜假信仰与假平安：从生命果子分辨真假,2023-05-03,2023-05-03,灵命成长,灵命成长,马太福音 7:15-23,马太福音 7:15-23,本文根据马太福音 7:15-23，提醒人不要用口头认信、宗教热心或外在事奉代替真实悔改与遵行天父旨意。,本文根据马太福音 7:15-23，提醒人不要用口头认信、宗教热心或外在事奉代替真实悔改与遵行天父旨意。,3236,3236,
2023-07-09-马太福音-3-2-悔改的真义,2023-07-09-马太福音-3-2-悔改的真义,2023-07-09-马太福音-3-2-悔改的真义,same,src/content/posts/2023-07-09-马太福音-3-2-悔改的真义.md,https://ronniecross.com/posts/2023-07-09-马太福音-3-2-悔改的真义/,马太福音 3:2｜悔改的真义,马太福音 3:2｜悔改的真义,2023-07-09,2023-07-09,灵命成长,灵命成长,马太福音 3:2,马太福音 3:2,"悔改的真义 我深信悔改的重要性不容置疑,人不悔改就无法得救。信徒有重大又严肃的职责,就是要悔改归向上帝 : “天国近了,你们应当悔改。 ”(太 3:2) “所以你们当悔改归正,使你","悔改的真义 我深信悔改的重要性不容置疑,人不悔改就无法得救。信徒有重大又严肃的职责,就是要悔改归向上帝 : “天国近了,你们应当悔改。 ”(太 3:2) “所以你们当悔改归正,使你",6525,6525,
2023-08-05-创世记-18-亚伯拉罕的代祷,2023-08-05-创世记-18-亚伯拉罕的代祷,2023-08-05-创世记-18-亚伯拉罕的代祷,metadata_diff,src/content/posts/2023-08-05-创世记-18-亚伯拉罕的代祷.md,https://ronniecross.com/posts/2023-08-05-创世记-18-亚伯拉罕的代祷/,创世记 18｜亚伯拉罕的代祷,创世记 18｜亚伯拉罕的代祷,2023-08-05,2023-08-05,灵命成长,灵命成长,创世记 18,创世记 18,"亚伯拉罕的代祷 使徒彼得在他的书信中写道:\""惟有你们是被拣选的族类,是有君尊的祭司,是圣洁的国度,是属神的子民,要叫你们宣扬那召你们出黑暗入奇妙光明者的美德。\""(彼前 2:9)请特","亚伯拉罕的代祷 使徒彼得在他的书信中写道:""惟有你们是被拣选的族类,是有君尊的祭司,是圣洁的国度,是属神的子民,要叫你们宣扬那召你们出黑暗入奇妙光明者的美德。""(彼前 2:9)请特",4758,4758,Different fields: description
2023-08-27-创世记-22-2-亚伯拉罕献以撒,2023-08-27-创世记-22-2-亚伯拉罕献以撒,2023-08-27-创世记-22-2-亚伯拉罕献以撒,same,src/content/posts/2023-08-27-创世记-22-2-亚伯拉罕献以撒.md,https://ronniecross.com/posts/2023-08-27-创世记-22-2-亚伯拉罕献以撒/,创世记 22:2｜亚伯拉罕献以撒,创世记 22:2｜亚伯拉罕献以撒,2023-08-27,2023-08-27,灵命成长,灵命成长,创世记 22:2,创世记 22:2,"亚伯拉罕献以撒 经文:创世记二十二章一至十八节 亚伯拉罕是信心的祖宗,他生平最著名的事迹,就是将他的独生子以撒献给神。 将以撒献上给神,实在不是件小事。以撒不但是他的独生子,且是他","亚伯拉罕献以撒 经文:创世记二十二章一至十八节 亚伯拉罕是信心的祖宗,他生平最著名的事迹,就是将他的独生子以撒献给神。 将以撒献上给神,实在不是件小事。以撒不但是他的独生子,且是他",1887,1887,
2023-09-17-提摩太后书-3-16-17-如何明辨神的声音-以圣经作为可靠准则,2023-09-17-提摩太后书-3-16-17-如何明辨神的声音-以圣经作为可靠准则,2023-09-17-提摩太后书-3-16-17-如何明辨神的声音-以圣经作为可靠准则,same,src/content/posts/2023-09-17-提摩太后书-3-16-17-如何明辨神的声音-以圣经作为可靠准则.md,https://ronniecross.com/posts/2023-09-17-提摩太后书-3-16-17-如何明辨神的声音-以圣经作为可靠准则/,提摩太后书 3:16-17｜如何明辨神的声音：以圣经作为可靠准则,提摩太后书 3:16-17｜如何明辨神的声音：以圣经作为可靠准则,2023-09-17,2023-09-17,灵命成长,灵命成长,提摩太后书 3:16-17,提摩太后书 3:16-17,"如何明辨神的声音 神会透过多种途径向人说话,但怎样明辨那是神的声音,是每一个信徒必须知道的事情。 最重要及唯一最准确的途径是神透过圣经说话。圣经是神的话语,是神透过文字将神的心意与","如何明辨神的声音 神会透过多种途径向人说话,但怎样明辨那是神的声音,是每一个信徒必须知道的事情。 最重要及唯一最准确的途径是神透过圣经说话。圣经是神的话语,是神透过文字将神的心意与",4088,4088,
2023-10-15-约翰福音-3-3-8-重生的真义-从圣灵而生的新生命,2023-10-15-约翰福音-3-3-8-重生的真义-从圣灵而生的新生命,2023-10-15-约翰福音-3-3-8-重生的真义-从圣灵而生的新生命,same,src/content/posts/2023-10-15-约翰福音-3-3-8-重生的真义-从圣灵而生的新生命.md,https://ronniecross.com/posts/2023-10-15-约翰福音-3-3-8-重生的真义-从圣灵而生的新生命/,约翰福音 3:3-8｜重生的真义：从圣灵而生的新生命,约翰福音 3:3-8｜重生的真义：从圣灵而生的新生命,2023-10-15,2023-10-15,灵命成长,灵命成长,约翰福音 3:3-8,约翰福音 3:3-8,"重生的真义 一、 重生是什么意思? 「耶稣回答说:『我实实在在地告诉你,人若不重生,就不能见神的国。』」(约三3) 「耶稣说:『我实实在在地告诉你,人若不是从水和圣灵生的,就不能进","重生的真义 一、 重生是什么意思? 「耶稣回答说:『我实实在在地告诉你,人若不重生,就不能见神的国。』」(约三3) 「耶稣说:『我实实在在地告诉你,人若不是从水和圣灵生的,就不能进",10035,10035,
2023-11-11-哥林多后书-12-7-10-神的能力在人的软弱上显得完全,2023-11-11-哥林多后书-12-7-10-神的能力在人的软弱上显得完全,2023-11-11-哥林多后书-12-7-10-神的能力在人的软弱上显得完全,same,src/content/posts/2023-11-11-哥林多后书-12-7-10-神的能力在人的软弱上显得完全.md,https://ronniecross.com/posts/2023-11-11-哥林多后书-12-7-10-神的能力在人的软弱上显得完全/,哥林多后书 12:7-10｜神的能力在人的软弱上显得完全,哥林多后书 12:7-10｜神的能力在人的软弱上显得完全,2023-11-11,2023-11-11,灵命成长,灵命成长,哥林多后书 12:7-10,哥林多后书 12:7-10,"5 神完全的能力 读经: 「因神的愚拙总比人智慧,神的软弱总比人强壮。 弟兄们哪,可见你们蒙召的,按着肉体有智慧的不多,有能力的不多,有尊贵的也不多。神却拣选了世上愚拙的,叫有智慧","5 神完全的能力 读经: 「因神的愚拙总比人智慧,神的软弱总比人强壮。 弟兄们哪,可见你们蒙召的,按着肉体有智慧的不多,有能力的不多,有尊贵的也不多。神却拣选了世上愚拙的,叫有智慧",3797,3797,
2023-12-10-但以理书-3-1-30-烈火窑中的信心-神同在就是充分的奖赏,2023-12-10-但以理书-3-1-30-烈火窑中的信心-神同在就是充分的奖赏,2023-12-10-但以理书-3-1-30-烈火窑中的信心-神同在就是充分的奖赏,same,src/content/posts/2023-12-10-但以理书-3-1-30-烈火窑中的信心-神同在就是充分的奖赏.md,https://ronniecross.com/posts/2023-12-10-但以理书-3-1-30-烈火窑中的信心-神同在就是充分的奖赏/,但以理书 3:1-30｜烈火窑中的信心：神同在就是充分的奖赏,但以理书 3:1-30｜烈火窑中的信心：神同在就是充分的奖赏,2023-12-10,2023-12-10,灵命成长,灵命成长,但以理书 3:1-30,但以理书 3:1-30,"神充分的奖赏 「看哪,我见有四个人......那第四个的相貌好象神子。」(但三25) 读经:但三1-30 我们先简要的概括一下这个故事的背景。尼布甲尼撒王很赏识这三个希伯来人的才干","神充分的奖赏 「看哪,我见有四个人......那第四个的相貌好象神子。」(但三25) 读经:但三1-30 我们先简要的概括一下这个故事的背景。尼布甲尼撒王很赏识这三个希伯来人的才干",3504,3504,
2023-12-30-路加福音-14-25-33-作基督门徒的条件-计算跟随主的代价,2023-12-30-路加福音-14-25-33-作基督门徒的条件-计算跟随主的代价,2023-12-30-路加福音-14-25-33-作基督门徒的条件-计算跟随主的代价,same,src/content/posts/2023-12-30-路加福音-14-25-33-作基督门徒的条件-计算跟随主的代价.md,https://ronniecross.com/posts/2023-12-30-路加福音-14-25-33-作基督门徒的条件-计算跟随主的代价/,路加福音 14:25-33｜作基督门徒的条件：计算跟随主的代价,路加福音 14:25-33｜作基督门徒的条件：计算跟随主的代价,2023-12-30,2023-12-30,灵命成长,灵命成长,路加福音 14:25-33,路加福音 14:25-33,"基督门徒的条件 「到我这里来......跟从我......」(路十四26、27) 读经:路十四25-33 新约充满了如何作门徒的教训及其相关的事。在我们主的教导中,如何作门徒占了极","基督门徒的条件 「到我这里来......跟从我......」(路十四26、27) 读经:路十四25-33 新约充满了如何作门徒的教训及其相关的事。在我们主的教导中,如何作门徒占了极",3627,3627,
2024-01-20-雅各书-2-14-26-信心与行为-活的信心必结出果子,2024-01-20-雅各书-2-14-26-信心与行为-活的信心必结出果子,2024-01-20-雅各书-2-14-26-信心与行为-活的信心必结出果子,same,src/content/posts/2024-01-20-雅各书-2-14-26-信心与行为-活的信心必结出果子.md,https://ronniecross.com/posts/2024-01-20-雅各书-2-14-26-信心与行为-活的信心必结出果子/,雅各书 2:14-26｜信心与行为：活的信心必结出果子,雅各书 2:14-26｜信心与行为：活的信心必结出果子,2024-01-20,2024-01-20,灵命成长,灵命成长,雅各书 2:14-26,雅各书 2:14-26,"五、 信心与行为 “人称义是因着行为,不是单因着信。”(雅二:24) “你们得救(称义)是本乎恩,也因着信......也不是出于行为。”(弗二:8、9) 这两句经文看似矛盾,但当我","五、 信心与行为 “人称义是因着行为,不是单因着信。”(雅二:24) “你们得救(称义)是本乎恩,也因着信......也不是出于行为。”(弗二:8、9) 这两句经文看似矛盾,但当我",4239,4239,
2024-02-12-以弗所书-2-8-9-恩典-白白得来的救恩,2024-02-12-以弗所书-2-8-9-恩典-白白得来的救恩,2024-02-12-以弗所书-2-8-9-恩典-白白得来的救恩,same,src/content/posts/2024-02-12-以弗所书-2-8-9-恩典-白白得来的救恩.md,https://ronniecross.com/posts/2024-02-12-以弗所书-2-8-9-恩典-白白得来的救恩/,以弗所书 2:8-9｜恩典：白白得来的救恩,以弗所书 2:8-9｜恩典：白白得来的救恩,2024-02-12,2024-02-12,灵命成长,灵命成长,以弗所书 2:8-9,以弗所书 2:8-9,"恩典 1.恩的宗旨 恩是很美的一个名词,它表达出上神所预定处理世人的办法。恩典和福音之间有密切的关系,它使我们明白神要如何赐福於人,但其本质却摧毁了宗教上的传统。恩典推翻了人一向固","恩典 1.恩的宗旨 恩是很美的一个名词,它表达出上神所预定处理世人的办法。恩典和福音之间有密切的关系,它使我们明白神要如何赐福於人,但其本质却摧毁了宗教上的传统。恩典推翻了人一向固",7240,7240,
2024-03-16-马太福音-4-17-耶稣对天国的教训,2024-03-16-马太福音-4-17-耶稣对天国的教训,2024-03-16-马太福音-4-17-耶稣对天国的教训,same,src/content/posts/2024-03-16-马太福音-4-17-耶稣对天国的教训.md,https://ronniecross.com/posts/2024-03-16-马太福音-4-17-耶稣对天国的教训/,马太福音 4:17｜耶稣对天国的教训,马太福音 4:17｜耶稣对天国的教训,2024-03-16,2024-03-16,灵命成长,灵命成长,马太福音 4:17,马太福音 4:17,"根据福音书之记载,在耶稣的全部教训中,「上帝的国」占有一个显着的地位。符类福音一致作证,耶稣在加利利开始传道时宣称说天国近了(太4:17;可1:15;路4:43)。在路加的记载中,","根据福音书之记载,在耶稣的全部教训中,「上帝的国」占有一个显着的地位。符类福音一致作证,耶稣在加利利开始传道时宣称说天国近了(太4:17;可1:15;路4:43)。在路加的记载中,",716,716,
2024-04-13-哥林多前书-8-1-3-惟有爱心能造就人,2024-04-13-哥林多前书-8-1-3-惟有爱心能造就人,2024-04-13-哥林多前书-8-1-3-惟有爱心能造就人,same,src/content/posts/2024-04-13-哥林多前书-8-1-3-惟有爱心能造就人.md,https://ronniecross.com/posts/2024-04-13-哥林多前书-8-1-3-惟有爱心能造就人/,哥林多前书 8:1-3｜惟有爱心能造就人,哥林多前书 8:1-3｜惟有爱心能造就人,2024-04-13,2024-04-13,灵命成长,灵命成长,哥林多前书 8:1-3,哥林多前书 8:1-3,"惟有爱心能造就人 证道经文:林前 8:1-3 证道内容: 新约哥林多前书8章1-3节讲到:“论到祭偶像之物,我们晓得我们都有知识;但知识是叫人自高自大,惟有爱心能造就人。若有人以为","惟有爱心能造就人 证道经文:林前 8:1-3 证道内容: 新约哥林多前书8章1-3节讲到:“论到祭偶像之物,我们晓得我们都有知识;但知识是叫人自高自大,惟有爱心能造就人。若有人以为",3787,3787,
2024-05-24-罗马书-12-14-18-与人和睦-以祝福和善意回应冲突,2024-05-24-罗马书-12-14-18-与人和睦-以祝福和善意回应冲突,2024-05-24-罗马书-12-14-18-与人和睦-以祝福和善意回应冲突,same,src/content/posts/2024-05-24-罗马书-12-14-18-与人和睦-以祝福和善意回应冲突.md,https://ronniecross.com/posts/2024-05-24-罗马书-12-14-18-与人和睦-以祝福和善意回应冲突/,罗马书 12:14-18｜与人和睦：以祝福和善意回应冲突,罗马书 12:14-18｜与人和睦：以祝福和善意回应冲突,2024-05-24,2024-05-24,灵命成长,灵命成长,罗马书 12:14-18,罗马书 12:14-18,本文根据罗马书 12:14-18，说明基督徒在冲突和逼迫中如何以祝福回应伤害，并在真理中尽力与众人和睦。,本文根据罗马书 12:14-18，说明基督徒在冲突和逼迫中如何以祝福回应伤害，并在真理中尽力与众人和睦。,5166,5166,
2024-05-24-雅各书-1-1-4-在百般试炼中坚定信心,2024-05-24-雅各书-1-1-4-在百般试炼中坚定信心,2024-05-24-雅各书-1-1-4-在百般试炼中坚定信心,same,src/content/posts/2024-05-24-雅各书-1-1-4-在百般试炼中坚定信心.md,https://ronniecross.com/posts/2024-05-24-雅各书-1-1-4-在百般试炼中坚定信心/,雅各书 1:1-4｜在百般试炼中坚定信心,雅各书 1:1-4｜在百般试炼中坚定信心,2024-05-24,2024-05-24,灵命成长,灵命成长,雅各书 1:1-4,雅各书 1:1-4,"百般试炼更坚信 经文:雅一1~4 作神和主耶稣基督仆人的雅各,请散居各地的十二个支派之人的安。2我的弟兄们,你们落在百般试炼中,都要以为大喜乐;3因为知道你们的信心经过试验,就生忍","百般试炼更坚信 经文:雅一1~4 作神和主耶稣基督仆人的雅各,请散居各地的十二个支派之人的安。2我的弟兄们,你们落在百般试炼中,都要以为大喜乐;3因为知道你们的信心经过试验,就生忍",2827,2827,
2024-06-16-罗马书-12-19-21-以善胜恶-把伸冤的主权交给神,2024-06-16-罗马书-12-19-21-以善胜恶-把伸冤的主权交给神,2024-06-16-罗马书-12-19-21-以善胜恶-把伸冤的主权交给神,same,src/content/posts/2024-06-16-罗马书-12-19-21-以善胜恶-把伸冤的主权交给神.md,https://ronniecross.com/posts/2024-06-16-罗马书-12-19-21-以善胜恶-把伸冤的主权交给神/,罗马书 12:19-21｜以善胜恶：把伸冤的主权交给神,罗马书 12:19-21｜以善胜恶：把伸冤的主权交给神,2024-06-16,2024-06-16,灵命成长,灵命成长,罗马书 12:19-21,罗马书 12:19-21,"以善胜恶顺服神 经文:罗十二19~21 亲爱的弟兄,不要自己伸冤,宁可让步,听凭主怒(或作“让人发怒”)。因为经上记着:“主说,伸冤在我,我必报应。”20所以,“你的仇敌若饿了,就","以善胜恶顺服神 经文:罗十二19~21 亲爱的弟兄,不要自己伸冤,宁可让步,听凭主怒(或作“让人发怒”)。因为经上记着:“主说,伸冤在我,我必报应。”20所以,“你的仇敌若饿了,就",5046,5046,
2024-06-30-雅各书-1-9-18诱惑,2024-06-30-雅各书-1-9-18｜诱惑,2024-06-30-雅各书-1-9-18诱惑,same,src/content/posts/2024-06-30-雅各书-1-9-18｜诱惑.md,https://ronniecross.com/posts/2024-06-30-雅各书-1-9-18诱惑/,雅各书 1:9-18｜诱惑,雅各书 1:9-18｜诱惑,2024-06-30,2024-06-30,教会讲道,教会讲道,雅各书 1:9-18,雅各书 1:9-18,"20240630 雅各书1:9-18诱惑 大家早上好。今天, 我们将继续雅各书中的系列, 探讨“合一的生活”。我们怎样才能过一种与神和他的旨意相一致的生活呢？今","20240630 雅各书1:9-18诱惑 大家早上好。今天, 我们将继续雅各书中的系列, 探讨“合一的生活”。我们怎样才能过一种与神和他的旨意相一致的生活呢？今",3667,3667,
2024-07-07-雅各书-2-1-13经文讲解,2024-07-07-雅各书-2-1-13｜经文讲解,2024-07-07-雅各书-2-1-13经文讲解,same,src/content/posts/2024-07-07-雅各书-2-1-13｜经文讲解.md,https://ronniecross.com/posts/2024-07-07-雅各书-2-1-13经文讲解/,雅各书 2:1-13｜经文讲解,雅各书 2:1-13｜经文讲解,2024-07-07,2024-07-07,教会讲道,教会讲道,雅各书 2:1-13,雅各书 2:1-13,"James 2:1-13 Good morning church! Today we’ll be picking back up in James, and e","James 2:1-13 Good morning church! Today we’ll be picking back up in James, and e",20478,20478,
