源文件,日期,经文,分类,发布标题,校订状态
NEEDS_METADATA_unknown-date_What Does 'Kick against the Goads' Mean in the Bible_中文.txt,2026-06-30,使徒行传 9,灵命成长,使徒行传 9｜NEEDS_METADATA_unknown-date_What Does 'Kick against the Goads' Mean in the Bible_中文,已完成基础校订
没穿礼服被惩罚.docx,2026-07-11,马太福音 22,灵命成长,马太福音 22｜没穿礼服被惩罚,已完成基础校订
列王纪上17_以利亚与撒勒法寡妇_信靠神的供应.txt,2026-07-12,列王纪上 17:1-24,灵命成长,列王纪上 17:1-24｜以利亚与撒勒法寡妇：信靠神的供应,已完成基础校订
为什么今天的基督徒不遵守利未律法.txt,2026-07-15,马太福音 5:21-22,灵命成长,马太福音 5:21-22｜为什么今天的基督徒不遵守利未律法,已完成基础校订
创世记4_该隐与挪得之地_流离与救赎.txt,2026-07-18,创世记 4:1-24,灵命成长,创世记 4:1-24｜该隐与挪得之地：流离、罪的延续与救赎的盼望,已完成基础校订
20260721_使徒行传17章1-9节_帖撒罗尼迦在逼迫中持守福音的教会_JoelRyan_中文.txt,2026-07-21,使徒行传 17:1-9,灵命成长,使徒行传 17:1-9｜帖撒罗尼迦：在逼迫中持守福音的教会,已完成基础校订
20260721_帖撒罗尼迦前书4章16节_在基督里死了的人必先复活_Ronnie_中文.txt,2026-07-21,帖撒罗尼迦前书 4:16,灵命成长,帖撒罗尼迦前书 4:16｜在基督里死了的人必先复活是什么意思,已完成基础校订
20260722_大卫为何称自己为义.txt,2026-07-22,诗篇 7:1-17,灵命成长,诗篇 7:1-17｜大卫为何称自己为义,已完成基础校订
20260723_工作与安息的七个圣经真理_Ronnie_中文.txt,2026-07-23,马太福音 11:28-30,灵命成长,马太福音 11:28-30｜工作与安息的七个圣经真理,已完成基础校订
20260723_我们真能遵行基督的命令吗_Ronnie_中文.txt,2026-07-23,创世记 1:27,灵命成长,创世记 1:27｜我们真能遵行基督的命令吗_Ronnie_中文,已完成基础校订
