priority,category,recovery_target,impacted_count,impacted_articles,recommended_action,recommended_search_location,status,note
P1,missing_share_docx,data/raw/分享/20220701_重新得力的秘诀.docx,2,data/processed/整理后的分享文章/2022-07-01-马太福音-11-28-30-重新得力的秘诀-到基督里得安息.md | src/content/posts/2022-07-01-马太福音-11-28-30-重新得力的秘诀-到基督里得安息.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/20230503_假信仰与假平安.docx,2,data/processed/整理后的分享文章/2023-05-03-马太福音-7-15-23-假信仰与假平安-从生命果子分辨真假.md | src/content/posts/2023-05-03-马太福音-7-15-23-假信仰与假平安-从生命果子分辨真假.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/33为什么耶稣告诉人们“去吧，从此不要再犯罪了”？.docx,2,data/processed/整理后的分享文章/2025-08-02-约翰福音-8-1-11-去吧-从此不要再犯罪-恩典与圣洁的生命.md | src/content/posts/2025-08-02-约翰福音-8-1-11-去吧-从此不要再犯罪-恩典与圣洁的生命.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/43三段被误解的圣经经文，以及神真正的应许.docx,2,data/processed/整理后的分享文章/2025-08-09-罗马书-8-28等-三段常被误解的经文-在语境中理解神的应许.md | src/content/posts/2025-08-09-罗马书-8-28等-三段常被误解的经文-在语境中理解神的应许.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/47建在永恒根基上的生命——从两则比喻看属灵智慧.docx,2,data/processed/整理后的分享文章/2025-08-02-路加福音-16-19-31-马太福音-7-24-27-建在永恒根基上的生命-从两则比喻学习属灵智慧.md | src/content/posts/2025-08-02-路加福音-16-19-31-马太福音-7-24-27-建在永恒根基上的生命-从两则比喻学习属灵智慧.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/77大卫和耶稣的祷告.docx,2,data/processed/整理后的分享文章/2025-11-01-诗篇-23-1-马太福音-6-9-13-大卫与耶稣的祷告-学习信靠、敬拜与亲近神.md | src/content/posts/2025-11-01-诗篇-23-1-马太福音-6-9-13-大卫与耶稣的祷告-学习信靠、敬拜与亲近神.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/82保罗的刺.docx,2,data/processed/整理后的分享文章/2025-12-26-哥林多后书-12-7-10-保罗身上的刺-在软弱中经历够用的恩典.md | src/content/posts/2025-12-26-哥林多后书-12-7-10-保罗身上的刺-在软弱中经历够用的恩典.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/84聪明的童女.docx,2,data/processed/整理后的分享文章/2026-03-21-马太福音-25-1-13-十个童女的比喻-警醒预备等候主.md | src/content/posts/2026-03-21-马太福音-25-1-13-十个童女的比喻-警醒预备等候主.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/85耶稣为何在地上写字.docx,2,data/processed/整理后的分享文章/2025-08-30-约翰福音-8-1-11-耶稣为何在地上写字-恩典、审判与悔改.md | src/content/posts/2025-08-30-约翰福音-8-1-11-耶稣为何在地上写字-恩典、审判与悔改.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/86人生只有两条路.docx,2,data/processed/整理后的分享文章/2025-10-25-马太福音-7-13-14-两条道路-选择通往生命的窄路.md | src/content/posts/2025-10-25-马太福音-7-13-14-两条道路-选择通往生命的窄路.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/87希伯来人，以色列人和犹太人.docx,2,data/processed/整理后的分享文章/2026-01-24-创世记-14-13-32-28-希伯来人、以色列人与犹太人-名称与历史脉络.md | src/content/posts/2026-01-24-创世记-14-13-32-28-希伯来人、以色列人与犹太人-名称与历史脉络.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/88雅各.docx,1,data/processed/整理后的分享文章/2026-03-28-创世记-32-22-32-雅各与神摔跤-从抓取到降服的生命转变.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/88耶稣为何说她是狗.docx,2,data/processed/整理后的分享文章/2025-11-29-马太福音-15-21-28-迦南妇人的信心-理解儿女与小狗的比喻.md | src/content/posts/2025-11-29-马太福音-15-21-28-迦南妇人的信心-理解儿女与小狗的比喻.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/91神的儿子，神的儿子们，人子.docx,1,data/processed/整理后的分享文章/2026-05-23-创世记-6-1-4-约伯记-1-6-但以理书-7-13-14-神的众子、神的儿子与人子-三个称号的含义.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/92大儿子的比喻.docx,2,data/processed/整理后的分享文章/2026-02-21-路加福音-15-25-32-大儿子的比喻-隐藏在顺服外表下的疏离.md | src/content/posts/2026-02-21-路加福音-15-25-32-大儿子的比喻-隐藏在顺服外表下的疏离.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/99雅各交叉双手.docx,2,data/processed/整理后的分享文章/2026-04-05-创世记-48-13-20-雅各交叉双手祝福-神的主权超越人的次序.md | src/content/posts/2026-04-05-创世记-48-13-20-雅各交叉双手祝福-神的主权超越人的次序.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/爱成全律法 经文：罗 13：8-10.docx,2,data/processed/整理后的分享文章/2024-10-12-罗马书-13-8-10-爱成全律法.md | src/content/posts/2024-10-12-罗马书-13-8-10-爱成全律法.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/百般试炼更坚信.docx,2,data/processed/整理后的分享文章/2024-05-24-雅各书-1-1-4-在百般试炼中坚定信心.md | src/content/posts/2024-05-24-雅各书-1-1-4-在百般试炼中坚定信心.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/不可论断　罗14：1-12.docx,2,data/processed/整理后的分享文章/2025-06-06-罗马书-14-1-12-不可论断.md | src/content/posts/2025-06-06-罗马书-14-1-12-不可论断.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/承载恩典.docx,2,data/processed/整理后的分享文章/2024-08-10-罗马书-1-11-12-承载恩典-在共同信心中彼此坚固.md | src/content/posts/2024-08-10-罗马书-1-11-12-承载恩典-在共同信心中彼此坚固.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/从约伯记看约伯受苦的意义.docx,2,data/processed/整理后的分享文章/2022-10-01-约伯记-1-1-从约伯记看约伯受苦的意义.md | src/content/posts/2022-10-01-约伯记-1-1-从约伯记看约伯受苦的意义.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/从重生而成长.docx,2,data/processed/整理后的分享文章/2024-12-14-彼得前书-1-18-2-3-从重生走向成长-渴慕纯净的灵奶.md | src/content/posts/2024-12-14-彼得前书-1-18-2-3-从重生走向成长-渴慕纯净的灵奶.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/得荣耀 罗马书8：18-30.docx,2,data/processed/整理后的分享文章/2025-03-29-罗马书-8-18-30-得荣耀.md | src/content/posts/2025-03-29-罗马书-8-18-30-得荣耀.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/得胜有余基督里　罗8：31-39.docx,2,data/processed/整理后的分享文章/2025-06-21-罗马书-8-31-得胜有余基督里.md | src/content/posts/2025-06-21-罗马书-8-31-得胜有余基督里.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/恩典.docx,2,data/processed/整理后的分享文章/2024-02-12-以弗所书-2-8-9-恩典-白白得来的救恩.md | src/content/posts/2024-02-12-以弗所书-2-8-9-恩典-白白得来的救恩.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/和睦相处荣耀神.docx,2,data/processed/整理后的分享文章/2024-05-24-罗马书-12-14-18-与人和睦-以祝福和善意回应冲突.md | src/content/posts/2024-05-24-罗马书-12-14-18-与人和睦-以祝福和善意回应冲突.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/悔改的真义.docx,2,data/processed/整理后的分享文章/2023-07-09-马太福音-3-2-悔改的真义.md | src/content/posts/2023-07-09-马太福音-3-2-悔改的真义.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/活出生命色彩的秘诀 罗8：1-17.docx,2,data/processed/整理后的分享文章/2025-02-08-罗马书-8-1-17-活出生命色彩的秘诀.md | src/content/posts/2025-02-08-罗马书-8-1-17-活出生命色彩的秘诀.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/基督门徒的条件.docx,2,data/processed/整理后的分享文章/2023-12-30-路加福音-14-25-33-作基督门徒的条件-计算跟随主的代价.md | src/content/posts/2023-12-30-路加福音-14-25-33-作基督门徒的条件-计算跟随主的代价.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/骄傲.docx,2,data/processed/整理后的分享文章/2022-12-10-路加福音-18-11-骄傲.md | src/content/posts/2022-12-10-路加福音-18-11-骄傲.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/论断与判断的区别.docx,2,data/processed/整理后的分享文章/2022-10-29-路加福音-6-37-论断与判断的区别.md | src/content/posts/2022-10-29-路加福音-6-37-论断与判断的区别.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/明白神的旨意（罗8：27）.docx,2,data/processed/整理后的分享文章/2025-05-17-罗马书-8-27-明白神的旨意-罗8-27.md | src/content/posts/2025-05-17-罗马书-8-27-明白神的旨意-罗8-27.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/你是否真正得救.docx,2,data/processed/整理后的分享文章/2023-03-31-哥林多后书-13-5-你是否真正得救-省察信心与生命果子.md | src/content/posts/2023-03-31-哥林多后书-13-5-你是否真正得救-省察信心与生命果子.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,"data/raw/分享/人的罪恶 经文：罗3,9-20.docx",2,data/processed/整理后的分享文章/2024-11-09-罗马书-3-9-20-人的罪恶.md | src/content/posts/2024-11-09-罗马书-3-9-20-人的罪恶.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/如何明辨神的声音.docx,2,data/processed/整理后的分享文章/2023-09-17-提摩太后书-3-16-17-如何明辨神的声音-以圣经作为可靠准则.md | src/content/posts/2023-09-17-提摩太后书-3-16-17-如何明辨神的声音-以圣经作为可靠准则.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/上帝公平吗　罗9：14-24.docx,2,data/processed/整理后的分享文章/2025-04-26-马太福音-20-1-10-上帝公平吗.md | src/content/posts/2025-04-26-马太福音-20-1-10-上帝公平吗.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/神充分的奖赏.docx,2,data/processed/整理后的分享文章/2023-12-10-但以理书-3-1-30-烈火窑中的信心-神同在就是充分的奖赏.md | src/content/posts/2023-12-10-但以理书-3-1-30-烈火窑中的信心-神同在就是充分的奖赏.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/神完全的能力.docx,2,data/processed/整理后的分享文章/2023-11-11-哥林多后书-12-7-10-神的能力在人的软弱上显得完全.md | src/content/posts/2023-11-11-哥林多后书-12-7-10-神的能力在人的软弱上显得完全.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/神阻挡骄傲的人.docx,2,data/processed/整理后的分享文章/2024-07-13-罗马书-11-16-24-不可向旧枝夸口-在神的恩慈与严厉中警醒.md | src/content/posts/2024-07-13-罗马书-11-16-24-不可向旧枝夸口-在神的恩慈与严厉中警醒.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/诗 32 悔改的操练.docx,2,data/processed/整理后的分享文章/2025-05-24-诗篇-32-1-11-悔改的操练-在认罪与赦免中经历神.md | src/content/posts/2025-05-24-诗篇-32-1-11-悔改的操练-在认罪与赦免中经历神.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/惟有爱心能造就人.docx,2,data/processed/整理后的分享文章/2024-04-13-哥林多前书-8-1-3-惟有爱心能造就人.md | src/content/posts/2024-04-13-哥林多前书-8-1-3-惟有爱心能造就人.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/为主而活 罗十四７，８.docx,2,data/processed/整理后的分享文章/2024-12-07-罗马书-14-7-8-为主而活-无论生死都是属主的人.md | src/content/posts/2024-12-07-罗马书-14-7-8-为主而活-无论生死都是属主的人.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/献为活祭 圣经：罗马书12：1－2.docx,2,data/processed/整理后的分享文章/2025-03-08-罗马书-12-1-2-献为活祭.md | src/content/posts/2025-03-08-罗马书-12-1-2-献为活祭.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/信心.docx,2,data/processed/整理后的分享文章/2024-01-20-雅各书-2-14-26-信心与行为-活的信心必结出果子.md | src/content/posts/2024-01-20-雅各书-2-14-26-信心与行为-活的信心必结出果子.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/寻求神的旨意.docx,2,data/processed/整理后的分享文章/2023-01-14-彼得后书-3-9-提摩太前书-2-3-4-寻求神的旨意-从得救开始明白神的带领.md | src/content/posts/2023-01-14-彼得后书-3-9-提摩太前书-2-3-4-寻求神的旨意-从得救开始明白神的带领.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/亚伯拉罕的代祷.docx,2,data/processed/整理后的分享文章/2023-08-05-创世记-18-亚伯拉罕的代祷.md | src/content/posts/2023-08-05-创世记-18-亚伯拉罕的代祷.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/亚伯拉罕献以撒.docx,2,data/processed/整理后的分享文章/2023-08-27-创世记-22-2-亚伯拉罕献以撒.md | src/content/posts/2023-08-27-创世记-22-2-亚伯拉罕献以撒.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/耶稣对天国的教训.docx,2,data/processed/整理后的分享文章/2024-03-16-马太福音-4-17-耶稣对天国的教训.md | src/content/posts/2024-03-16-马太福音-4-17-耶稣对天国的教训.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/耶稣基督的仆人.docx,2,data/processed/整理后的分享文章/2024-09-15-罗马书-1-1-耶稣基督的仆人.md | src/content/posts/2024-09-15-罗马书-1-1-耶稣基督的仆人.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/以善胜恶顺服神.docx,2,data/processed/整理后的分享文章/2024-06-16-罗马书-12-19-21-以善胜恶-把伸冤的主权交给神.md | src/content/posts/2024-06-16-罗马书-12-19-21-以善胜恶-把伸冤的主权交给神.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/以神为乐 罗5：1-10.docx,2,data/processed/整理后的分享文章/2025-01-04-希伯来书-11-27-以神为乐.md | src/content/posts/2025-01-04-希伯来书-11-27-以神为乐.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P1,missing_share_docx,data/raw/分享/重生的真义.docx,2,data/processed/整理后的分享文章/2023-10-15-约翰福音-3-3-8-重生的真义-从圣灵而生的新生命.md | src/content/posts/2023-10-15-约翰福音-3-3-8-重生的真义-从圣灵而生的新生命.md,recover_raw_file,"old share raw archive, backup, NAS share archive, previous content project",not_recovered,Legacy share article points to a docx that is not present under data/raw.
P2,missing_sermon_raw_directory,data/raw/教会讲道/20240630雅各书1：9-18诱惑_Patrick/20240630-Patrick(雅各书1：9-18诱惑).docx,2,data/processed/整理后的讲道文章/2024-06-30-雅各书-1-9-18｜诱惑.md | src/content/posts/2024-06-30-雅各书-1-9-18｜诱惑.md,recover_raw_directory,"\\RonnieNAS\share\教会讲道, protected sermon archive, old data/raw/教会讲道",not_recovered,Sermon article source directory is not present under data/raw/教会讲道.
P2,missing_sermon_raw_directory,data/raw/教会讲道/20240707雅各书 2：1-13_Grayson/20240707-Grayson(雅各书 2：1-13).docx,2,data/processed/整理后的讲道文章/2024-07-07-雅各书-2-1-13｜经文讲解.md | src/content/posts/2024-07-07-雅各书-2-1-13｜经文讲解.md,recover_raw_directory,"\\RonnieNAS\share\教会讲道, protected sermon archive, old data/raw/教会讲道",not_recovered,Sermon article source directory is not present under data/raw/教会讲道.
P2,missing_sermon_raw_directory,data/raw/教会讲道/20240714雅各书 1：19-27_Patrick/20240714-Payrick(雅各书 1：19-27).docx,2,data/processed/整理后的讲道文章/2024-07-14-雅各书-1-19-27｜经文讲解.md | src/content/posts/2024-07-14-雅各书-1-19-27｜经文讲解.md,recover_raw_directory,"\\RonnieNAS\share\教会讲道, protected sermon archive, old data/raw/教会讲道",not_recovered,Sermon article source directory is not present under data/raw/教会讲道.
P2,missing_sermon_raw_directory,data/raw/教会讲道/20240721雅各书 2：14-26 行为之信_Patrick/20240721-Patrick(雅各书 2：14-26 行为之信).docx,2,data/processed/整理后的讲道文章/2024-07-21-雅各书-2-14-26｜行为之信.md | src/content/posts/2024-07-21-雅各书-2-14-26｜行为之信.md,recover_raw_directory,"\\RonnieNAS\share\教会讲道, protected sermon archive, old data/raw/教会讲道",not_recovered,Sermon article source directory is not present under data/raw/教会讲道.
P2,missing_sermon_raw_directory,data/raw/教会讲道/20240728雅各书 3：1-12 话语_Patrick/20240728雅各书 3：1-12 话语P中文.docx,2,data/processed/整理后的讲道文章/2024-07-28-雅各书-3-1-12｜话语.md | src/content/posts/2024-07-28-雅各书-3-1-12｜话语.md,recover_raw_directory,"\\RonnieNAS\share\教会讲道, protected sermon archive, old data/raw/教会讲道",not_recovered,Sermon article source directory is not present under data/raw/教会讲道.
P2,missing_sermon_raw_directory,data/raw/教会讲道/20240811雅各书 3：13-18 智慧_Patrick/20240811雅各书 3：13-18 智慧P中文.docx,2,data/processed/整理后的讲道文章/2024-08-11-雅各书-3-13-18｜智慧.md | src/content/posts/2024-08-11-雅各书-3-13-18｜智慧.md,recover_raw_directory,"\\RonnieNAS\share\教会讲道, protected sermon archive, old data/raw/教会讲道",not_recovered,Sermon article source directory is not present under data/raw/教会讲道.
P2,missing_sermon_raw_directory,data/raw/教会讲道/20240818雅各书4：1-10 内心的战争_Patrick/20240818-Patrick中文雅各书4：1-10 内心的战争.docx,2,data/processed/整理后的讲道文章/2024-08-18-雅各书-4-1-10｜内心的战争.md | src/content/posts/2024-08-18-雅各书-4-1-10｜内心的战争.md,recover_raw_directory,"\\RonnieNAS\share\教会讲道, protected sermon archive, old data/raw/教会讲道",not_recovered,Sermon article source directory is not present under data/raw/教会讲道.
P2,missing_sermon_raw_directory,data/raw/教会讲道/20240825雅各书 5：7-13 忍耐_Patrick/20240825-Patrick中文雅各书 5：7-13 忍耐.docx,2,data/processed/整理后的讲道文章/2024-08-25-雅各书-5-7-13｜忍耐.md | src/content/posts/2024-08-25-雅各书-5-7-13｜忍耐.md,recover_raw_directory,"\\RonnieNAS\share\教会讲道, protected sermon archive, old data/raw/教会讲道",not_recovered,Sermon article source directory is not present under data/raw/教会讲道.
P2,missing_sermon_raw_directory,data/raw/教会讲道/20240901雅各书5：13-20 祷告_Patrick/20240901-Patrick中文雅各书5：13-20 祷告.txt,2,data/processed/整理后的讲道文章/2024-09-01-雅各书-5-13-20｜祷告.md | src/content/posts/2024-09-01-雅各书-5-13-20｜祷告.md,recover_raw_directory,"\\RonnieNAS\share\教会讲道, protected sermon archive, old data/raw/教会讲道",not_recovered,Sermon article source directory is not present under data/raw/教会讲道.
