源目录,日期,经文,分类,讲员,发布标题,正文来源
20241201约翰福音1：1-5  耶稣是道_Patrick,2024-12-01,约翰福音 1:1-5,圣经学习,Patrick,约翰福音 1:1-5｜耶稣是道,20241201约翰福音1：1-5  耶稣是道.docx
20241208约翰福音1：4-13 耶稣是光_Patrick,2024-12-08,约翰福音 1:4-13,圣经学习,Patrick,约翰福音 1:4-13｜耶稣是光,20241208约翰福音1：4-13 耶稣是光.txt
20241215约翰福音1：14-18 耶稣的荣耀_Patrick,2024-12-15,约翰福音 1:14-18,圣经学习,Patrick,约翰福音 1:14-18｜耶稣的荣耀,20241215约翰福音1：14-18 耶稣的荣耀.txt
20241222马太福音 1：18-25 耶稣——救主_Patrick,2024-12-22,马太福音 1:18-25,圣经学习,Patrick,马太福音 1:18-25｜耶稣--救主,20241222马太福音 1：18-25 耶稣——救主.txt
20250105使徒行传5：12-42借着圣灵传讲神的话_Patrick,2025-01-05,使徒行传 5:12-42,圣经学习,Patrick,使徒行传 5:12-42｜借着圣灵传讲神的话,20250105使徒行传5：12-42借着圣灵传讲神的话.txt
20250112使徒行传6：1-7  圣灵带来的合一_Patrick,2025-01-12,使徒行传 6:1-7,圣经学习,Patrick,使徒行传 6:1-7｜圣灵带来的合一,20250112使徒行传6：1-7  圣灵带来的合一.txt
20250119使徒行传6-7章：抗拒圣灵_Patrick,2025-01-19,使徒行传 6-7,圣经学习,Patrick,使徒行传 6-7｜抗拒圣灵,20250119使徒行传第6-7章：抗拒圣灵.txt
20250126Kaz的见证,2025-01-26,约书亚记 1:5,分享见证,Kaz,约书亚记 1:5｜Kaz的见证,20250126Kaz的见证.txt
20250202使徒行传 8：25-40 圣灵引导的事工_Patrick,2025-02-02,使徒行传 8:25-40,圣经学习,Patrick,使徒行传 8:25-40｜圣灵引导的事工,20250202使徒行传 8：25-40 圣灵引导的事工.txt
20250209使徒行传 9：1-11;17-19 圣灵的改变_Patrick,2025-02-09,使徒行传 9:1-11;17-19,圣经学习,Patrick,使徒行传 9:1-11;17-19｜圣灵的改变,20250209使徒行传 9：1-11;17-19 圣灵的改变.txt
20250216使徒行传 10：25-44 圣灵的纳入_Patrick,2025-02-16,使徒行传 10:25-44,圣经学习,Patrick,使徒行传 10:25-44｜圣灵的纳入,20250216使徒行传 10：25-44 圣灵的纳入.txt
20250223提多书 2：11-15  转变生命的恩典_Patrick,2025-02-23,提多书 2:11-15,圣经学习,Patrick,提多书 2:11-15｜转变生命的恩典,20250223提多书 2：11-15  转变生命的恩典.txt
20250302使徒行传 11：19-30 圣灵的鼓励_Patrick,2025-03-02,使徒行传 11:19-30,圣经学习,Patrick,使徒行传 11:19-30｜圣灵的鼓励,20250302使徒行传 11：19-30 圣灵的鼓励.docx
20250309使徒行传 12：1-19 　凭圣灵祷告_Patrick,2025-03-09,使徒行传 12:1-19,圣经学习,Patrick,使徒行传 12:1-19｜凭圣灵祷告,20250309使徒行传 12：1-19 　凭圣灵祷告.txt
20250316使徒行传 13：1-29 圣灵引导的宣教_Patrick,2025-03-16,使徒行传 13:1-29,圣经学习,Patrick,使徒行传 13:1-29｜圣灵引导的宣教,20250316使徒行传 13：1-29 圣灵引导的宣教.txt
20250323使徒行传 14：8-23福音的坚韧_Patrick,2025-03-23,使徒行传 14:8-23,圣经学习,Patrick,使徒行传 14:8-23｜福音的坚韧,20250323使徒行传 14：8-23福音的坚韧.txt
20250330使徒行传 16：20-34 借着圣灵得自由_Patrick,2025-03-30,使徒行传 16:20-34,圣经学习,Patrick,使徒行传 16:20-34｜借着圣灵得自由,20250330使徒行传 16：20-34 借着圣灵得自由.txt
20250406使徒行传 15：1-12 如何处理冲突_Patrick,2025-04-06,使徒行传 15:1-12,圣经学习,Patrick,使徒行传 15:1-12｜如何处理冲突,20250406使徒行传 15：1-12 如何处理冲突.txt
20250413复活节系列：十字架上的三句话_Patrick,2025-04-13,哥林多前书 2:1-2,复活节,Patrick,哥林多前书 2:1-2｜复活节系列:十字架上的三句话,20250413复活节系列：十字架上的三句话.docx
20250420复活节系列：哥林多前书15：1-6复活的福音_Patrick,2025-04-20,哥林多前书 15:1-6,复活节,Patrick,哥林多前书 15:1-6｜复活节系列:复活的福音,20250420复活节系列：哥林多前书15：1-6复活的福音.txt
20250427使徒行传 17：1-12 专心于神的话语_Patrick,2025-04-27,使徒行传 17:1-12,圣经学习,Patrick,使徒行传 17:1-12｜专心于神的话语,20250427使徒行传 17：1-12 专心于神的话语.docx
20250504使徒行传 17：16-24 未知之神_Patrick,2025-05-04,使徒行传 17:16-24,圣经学习,Patrick,使徒行传 17:16-24｜未知之神,20250504使徒行传 17：16-24 未知之神.txt
20250511使徒行传18：1-11 保罗在哥林多_Patrick,2025-05-11,使徒行传 18:1-11,圣经学习,Patrick,使徒行传 18:1-11｜保罗在哥林多,20250511使徒行传18：1-11 保罗在哥林多.txt
20250518使徒行传 18：18-28亚波罗在以弗所_Patrick,2025-05-18,使徒行传 18:18-28,圣经学习,Patrick,使徒行传 18:18-28｜亚波罗在以弗所,20250518使徒行传 18：18-28亚波罗在以弗所.txt
20250525使徒行传19章——保罗在以弗所_Patrick,2025-05-25,使徒行传 19,圣经学习,Patrick,使徒行传 19｜保罗在以弗所,20250525使徒行传19章——保罗在以弗所.txt
20250601使徒行传20章：保罗与以弗所的长老们_Patrick,2025-06-01,使徒行传 20,圣经学习,Patrick,使徒行传 20｜保罗与以弗所的长老们,20250601使徒行传20章：保罗与以弗所的长老们.docx
20250608使徒行传22：1-22 保罗的见证_Patrick,2025-06-08,使徒行传 22:1-22,圣经学习,Patrick,使徒行传 22:1-22｜保罗的见证,20250608使徒行传22：1-22 保罗的见证.txt
20250615使徒行传18：28-31：善终之道_Patrick,2025-06-15,使徒行传 18:28-31,圣经学习,Patrick,使徒行传 18:28-31｜善终之道,20250615使徒行传18：28-31：善终之道.txt
20250622约拿1_Grayson,2025-06-22,约拿书 1,圣经学习,Grayson,约拿书 1｜经文讲解,20250622约拿1 中.txt
20250629约拿2_Grayson,2025-06-29,约拿书 2,圣经学习,Grayson,约拿书 2｜经文讲解,20250629约拿2.txt
20250706约拿3_Grayson,2025-07-06,约拿书 3,圣经学习,Grayson,约拿书 3｜经文讲解,20250706约拿3中文.txt
20250713福音1约翰福音 6：22–29引言：我们需要一次诊断_Ryan,2025-07-13,约翰福音 6:22-29,圣经学习,Ryan,约翰福音 6:22-29｜引言:我们需要一次诊断,20250713约翰福音 6：22–29引言：我们需要一次诊断.txt
20250720福音2约翰福音 6：30–35福音的渗透力_Ryan,2025-07-20,约翰福音 6:30-35,圣经学习,Ryan,约翰福音 6:30-35｜福音的渗透力,20250720约翰福音 6：30–35福音的渗透力.txt
20250727Kota见证,2025-07-27,耶利米哀歌 3:19-33,分享见证,Kota,耶利米哀歌 3:19-33｜Kota见证,20250727Kota见证.txt
20250803福音3马可福音 10：17-22我心中的福音_Ryan,2025-08-03,马可福音 10:17-22,圣经学习,Ryan,马可福音 10:17-22｜我心中的福音,20250803马可福音 10：17-22我心中的福音.txt
20250810福音4使徒行传 2：42–47与我们同在的福音_Ryan,2025-08-10,使徒行传 2:42-47,圣经学习,Ryan,使徒行传 2:42-47｜与我们同在的福音,20250810使徒行传 2：42–47与我们同在的福音.txt
20250817诗篇 27：1 神是我们的堡垒_Patrick,2025-08-17,诗篇 27:1,圣经学习,Patrick,诗篇 27:1｜神是我们的堡垒,20250817诗篇 27：1 神是我们的堡垒.txt
20250824马可福音 4：1-20 撒种的比喻_Patrick,2025-08-24,马可福音 4:1-20,圣经学习,Patrick,马可福音 4:1-20｜撒种的比喻,文本.txt
20250831教会的身份证明约翰福音 13：31-35_Patrick父,2025-08-31,约翰福音 13:31-35,圣经学习,Patrick,约翰福音 13:31-35｜教会的身份证明,文本pd.txt
20250907马太福音 13：31-33 芥菜种面酵的比喻_Patrick,2025-09-07,马太福音 13:31-33,圣经学习,Patrick,马太福音 13:31-33｜芥菜种面酵的比喻,文本.txt
20250914马太福音 13：44-46 基督无限的价值_Patrick,2025-09-14,马太福音 13:44-46,圣经学习,Patrick,马太福音 13:44-46｜基督无限的价值,文本.txt
20250921路加福音 15：1-7 善牧_Patrick,2025-09-21,路加福音 15:1-7,圣经学习,Patrick,路加福音 15:1-7｜善牧,文本.txt
20250928路加福音 10：25-37 好撒玛利亚人_Patrick,2025-09-28,路加福音 10:25-37,圣经学习,Patrick,路加福音 10:25-37｜好撒玛利亚人,文本.txt
20251005马太福音 18：21-35 不饶恕人的仆人_Patrick,2025-10-05,马太福音 18:21-35,圣经学习,Patrick,马太福音 18:21-35｜不饶恕人的仆人,文本.txt
20251012路加福音 15：11-32 迷失的两个儿子_Patrick,2025-10-12,路加福音 15:11-32,圣经学习,Patrick,路加福音 15:11-32｜迷失的两个儿子,文本.txt
20251019马太福音 20：1-16葡萄园工人的比喻_Patrick,2025-10-19,马太福音 20:1-16,圣经学习,Patrick,马太福音 20:1-16｜葡萄园工人的比喻,文本.txt
20251026路加福音 18：1-8 坚持祈求的寡妇_Patrick,2025-10-26,路加福音 18:1-8,圣经学习,Patrick,路加福音 18:1-8｜坚持祈求的寡妇,文本.txt
20251102马太福音 21：33-45 恶农夫的比喻_Patrick,2025-11-02,马太福音 21:33-45,圣经学习,Patrick,马太福音 21:33-45｜恶农夫的比喻,文本.txt
20251109马太福音 25：14-30 才干的比喻_Patrick,2025-11-09,马太福音 25:14-30,圣经学习,Patrick,马太福音 25:14-30｜才干的比喻,文本.txt
20251116马太福音 6：19-24 管家职分-单一的主人_Patrick,2025-11-16,马太福音 6:19-24,圣经学习,Patrick,马太福音 6:19-24｜管家职分-单一的主人,20251116.txt
20251123哥林多后书 8：7-9 慷慨_Patrick,2025-11-23,哥林多后书 8:7-9,圣经学习,Patrick,哥林多后书 8:7-9｜慷慨,文本.txt
20251130提摩太前书 6：6-10  知足_Patrick,2025-11-30,提摩太前书 6:6-10,圣经学习,Patrick,提摩太前书 6:6-10｜知足,文本.txt
20251207路加福音 1：26-38 所应许的礼物_Patrick,2025-12-07,路加福音 1:26-38,圣诞节,Patrick,路加福音 1:26-38｜所应许的礼物,文本.txt
20251214路加福音 2：8–20 礼物的宣告_Patrick,2025-12-14,路加福音 2:8-20,圣诞节,Patrick,路加福音 2:8-20｜礼物的宣告,文本.txt
20251221以弗所书 5：1–2 最伟大的礼物_Patrick,2025-12-21,以弗所书 5:1-2,圣诞节,Patrick,以弗所书 5:1-2｜最伟大的礼物,文本.txt
20260104约翰福音 8：31–36 真正的自由_Patrick,2026-01-04,约翰福音 8:31-36,圣经学习,Patrick,约翰福音 8:31-36｜真正的自由,文本.txt
20260111罗马书 1：1–7 罗马书导论_Patrick,2026-01-11,罗马书 1:1-7,圣经学习,Patrick,罗马书 1:1-7｜罗马书导论,文本.txt
20260118罗马书 1：16–32_Patrick,2026-01-18,罗马书 1:16-32,圣经学习,Patrick,罗马书 1:16-32｜经文讲解,文本.txt
20260125罗马书第二章：自以为义的人被定罪_Patrick,2026-01-25,罗马书 2,圣经学习,Patrick,罗马书 2｜自以为义的人被定罪,文本.txt
20260201罗马书3：1–20_Patrick,2026-02-01,罗马书 3:1-20,圣经学习,Patrick,罗马书 3:1-20｜经文讲解,文本.txt
20260208罗马书 3：21–31 因信称义_Patrick,2026-02-08,罗马书 3:21-31,圣经学习,Patrick,罗马书 3:21-31｜因信称义,文本.txt
20260215罗马书第4章：像亚伯拉罕一样的信心_Patrick,2026-02-15,罗马书 4,圣经学习,Patrick,罗马书 4｜像亚伯拉罕一样的信心,文本.txt
20260222罗马书 5：1-11 在基督里得以和好_Patrick,2026-02-22,罗马书 5:1-11,圣经学习,Patrick,罗马书 5:1-11｜在基督里得以和好,文本.txt
20260301罗马书 5：12–21 恩典掌权_Patrick,2026-03-01,罗马书 5:12-21,圣经学习,Patrick,罗马书 5:12-21｜恩典掌权,文本.txt
20260308罗马书 6：1–14 向罪死，在基督里活_Patrick,2026-03-08,罗马书 6:1-14,圣经学习,Patrick,罗马书 6:1-14｜向罪死，在基督里活,文本.txt
20260315罗马书 6：15–23 在恩典之下_Patrick,2026-03-15,罗马书 6:15-23,圣经学习,Patrick,罗马书 6:15-23｜在恩典之下,文本.txt
20260322罗马书 7：14–20_Grayson,2026-03-22,罗马书 7:14-20,圣经学习,Grayson,罗马书 7:14-20｜经文讲解,文本.txt
20260329马太福音 27：15–26伟大的交换_Patrick,2026-03-29,马太福音 27:15-26,复活节,Patrick,马太福音 27:15-26｜伟大的交换,文本.txt
20260405约翰福音 11：25-26 耶稣是我们的盼望_Patrick,2026-04-05,约翰福音 11:25-26,圣经学习,Patrick,约翰福音 11:25-26｜耶稣是我们的盼望,文本.txt
20260412罗马书 8：1-4：12-17 被圣灵收养_Patrick,2026-04-12,罗马书 8:1-4;12-17,圣经学习,Patrick,罗马书 8:1-4;12-17｜被圣灵收养,文本.txt
20260419罗马书 8：18–28 在苦难中的盼望_Patrick,2026-04-19,罗马书 8:18-28,圣经学习,Patrick,罗马书 8:18-28｜在苦难中的盼望,文本.txt
20260426罗马书 8：31-39 那位不可忘记的神_Patrick,2026-04-26,罗马书 8:31-39,圣经学习,Patrick,罗马书 8:31-39｜那位不可忘记的神,文本.txt
20260503罗马书 9：14-24 陶匠与泥土_Patrick,2026-05-03,罗马书 9:14-24,圣经学习,Patrick,罗马书 9:14-24｜陶匠与泥土,文本.txt
20260510罗马书9：30-10：21_Akira,2026-05-10,罗马书 9:30-10:21,圣经学习,Akira,罗马书 9:30-10:21｜经文讲解,文本.txt
